"Imi_I_x","Imi_I_y","Imi_Q_x","Imi_Q_y","Imi_Q_norm_x","Imi_Q_norm_y","Imi_I_norm_x","Imi_I_norm_y"
0,22,0,831,0,-1606,0,1267,
1,410,1,282,1,1698,1,-1144,
2,-123,2,-603,2,1978,2,-520,
3,-651,3,-363,3,-718,3,1915,
4,-13,4,367,4,-2042,4,-129,
5,778,5,240,5,21,5,-2048,
6,270,6,-327,6,2045,6,54,
7,-663,7,-104,7,1159,7,1686,
8,-422,8,486,8,-2005,8,-409,
9,439,9,167,9,-997,9,-1788,
10,327,10,-620,10,2045,10,-73,
11,-342,11,-419,11,602,11,1954,
12,-147,12,545,12,-1579,12,1303,
13,472,13,641,13,-318,13,-2023,
14,101,14,-284,14,1545,14,-1342,
15,-677,15,-654,15,728,15,1913,
16,-274,16,-200,16,-1810,16,954,
17,503,17,502,17,-1586,17,-1295,
18,485,18,268,18,1975,18,-533,
19,-413,19,-337,19,1647,19,1213,
20,-615,20,-216,20,-1930,20,686,
21,268,21,278,21,-1421,21,-1471,
22,646,22,164,22,-1207,22,-1653,
23,-159,23,-275,23,1445,23,1448,
24,-504,24,-357,24,990,24,1792,
25,-146,25,115,25,-1295,25,-1586,
26,481,26,308,26,-679,26,-1932,
27,257,27,-122,27,1473,27,1420,
28,-379,28,-252,28,503,28,1983,
29,-325,29,215,29,-1772,29,-1025,
30,212,30,299,30,-1183,30,-1670,
31,243,31,-320,31,1266,31,-1609,
32,-116,32,-494,32,1103,32,1722,
33,-57,33,254,33,-878,33,1848,
34,240,34,685,34,-1134,34,-1705,
35,-11,35,13,35,1129,35,-1708,
36,-138,36,-292,36,1670,36,1184,
37,-424,37,187,37,-1630,37,1237,
38,53,38,310,38,-1994,38,-469,
39,413,39,-220,39,1996,39,-448,
40,62,40,-360,40,1931,40,676,
41,-354,41,273,41,1358,41,-1150,
42,-168,42,481,42,-1852,42,-875,
43,195,43,-274,43,826,43,-1874,
44,173,44,-676,44,2017,44,344,
45,-18,45,138,45,-963,45,1806,
46,-39,46,806,46,-2017,46,347,
47,-43,47,106,47,1249,47,-1621,
48,-142,48,-783,48,1931,48,-675,
49,-52,49,-320,49,-1668,49,1186,
50,223,50,628,50,-1984,50,507,
51,202,51,395,51,2025,51,-265,
52,-164,52,-495,52,2043,52,-99,
53,-268,53,-368,53,1890,53,-767,
54,76,54,460,54,-2013,54,-365,
55,238,55,376,55,-2020,55,-329,
56,-64,56,-472,56,1928,56,684,
57,-221,57,-463,57,1822,57,931,
58,106,58,419,58,-1944,58,-644,
59,96,59,384,59,-1655,59,-1205,
60,29,60,-509,60,2019,60,333,
61,-133,61,-461,61,1728,61,1094,
62,-35,62,440,62,-2029,62,-275,
63,124,63,493,63,-1847,63,-882,
64,38,64,-426,64,1983,64,501,
65,-91,65,-578,65,1986,65,496,
66,39,66,383,66,-2044,66,116,
67,131,67,717,67,-1967,67,-568,
68,-121,68,-228,68,2040,68,-163,
69,-285,69,-787,69,1985,69,499,
70,72,70,-6,70,-2039,70,181,
71,432,71,685,71,-2021,71,-319,
72,118,72,146,72,2036,72,207,
73,-421,73,-501,73,2013,73,367,
74,-301,74,-110,74,-1808,74,-960,
75,265,75,416,75,-1925,75,-697,
76,315,76,15,76,-170,76,2035,
77,-146,77,-493,77,1731,77,1091,
78,-220,78,-40,78,1590,78,1285,
79,190,79,577,79,-1568,79,-1318,
80,207,80,213,80,-703,80,-1923,
81,-306,81,-499,81,1725,81,1099,
82,-373,82,-346,82,97,82,2045,
83,534,83,293,83,-1963,83,-582,
84,606,84,29,84,-367,84,-2014,
85,-317,85,-170,85,1942,85,639,
86,-666,86,153,86,1467,86,1426,
87,79,87,239,87,-1745,87,-1070,
88,554,88,-254,88,-1393,88,-1501,
89,14,89,-399,89,984,89,1793,
90,-450,90,193,90,97,90,2045,
91,0,91,447,91,-968,91,-1805,
92,488,92,-112,92,458,92,-1996,
93,62,93,-385,93,1941,93,641,
94,-443,94,414,94,-854,94,1861,
95,-23,95,325,95,-2045,95,71,
96,341,96,-555,96,806,96,-1881,
97,170,97,-572,97,2046,97,0,
98,-65,98,512,98,-459,98,1995,
99,-54,99,868,99,-2020,99,325,
100,-102,100,-200,100,1397,100,-1496,
101,-248,101,-911,101,2041,101,-145,
102,-48,102,-142,102,-1744,102,1070,
103,604,103,505,103,-1962,103,583,
104,235,104,-24,104,2030,104,-258,
105,-413,105,-269,105,2041,105,-127,
106,-373,106,284,106,-1824,106,-930,
107,73,107,375,107,-1976,107,-538,
108,126,108,-474,108,-1938,108,-655,
109,-8,109,-771,109,1311,109,1568,
110,225,110,260,110,-209,110,2036,
111,359,111,1037,111,-1117,111,-1715,
112,-241,112,266,112,1240,112,-1629,
113,-800,113,-831,113,2008,113,390,
114,-205,114,-628,114,-1978,114,525,
115,848,115,303,115,-2045,115,-22,
116,501,116,385,116,1547,116,1339,
117,-473,117,-193,117,1932,117,668,
118,-700,118,-198,118,1517,118,-1375,
119,153,119,104,119,-1474,119,-1419,
120,663,120,-66,120,-1946,120,-636,
121,133,121,-282,121,688,121,1927,
122,-393,122,168,122,1246,122,1622,
123,-162,123,586,123,-774,123,-1896,
124,127,124,30,124,-557,124,-1969,
125,-78,125,-732,125,1149,125,1691,
126,-138,126,-390,126,-203,126,2035,
